"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"0709","その他の管理，補助的経済活動を行う事業所","主として職別工事業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"071","大工工事業",""
"0711","大工工事業(型枠大工工事業を除く)","主として大工工事（型枠大工工事を除く）を行う事業所をいう。
建築物建設について，大工工事（型枠大工工事を除く）のほかにとび工事，左官工事，屋根工事などを組み合わせて，木造建築物の完成を発注者から直接に請負うことを主とする事業所は中分類06［0651］に，主として型枠大工工事を行う事業所は細分類0712に分類される。
"
"0712","型枠大工工事業","主として型枠大工工事を行う事業所をいう。
"
"072","とび･土工･コンクリート工事業",""
"0721","とび工事業","主として建方，足場組立，金属製仮設工事，支柱工事，ひき屋工事を行う事業所をいう。
"
"0722","土工･コンクリート工事業","主として土工工事及び一般的なコンクリート工事（型枠大工工事を除く）を行う事業所をいう。
"
"0723","特殊コンクリート工事業","主として潜かん（函）などの特殊コンクリート基礎工事，場所打ちコンクリートぐい工事，独立コンクリート煙突工事などの作業を行う事業所をいう。
"
"073","鉄骨･鉄筋工事業",""
"0731","鉄骨工事業","主として現場で構造用鋼材の組立，びょう接，溶接工事を行う事業所をいう。
"
"0732","鉄筋工事業","主としてコンクリート用鉄筋工事を行う事業所をいう。
"
"074","石工･れんが･タイル･ブロック工事業",""
"0741","石工工事業","主として現場で天然石あるいは人造石の造形，取付け仕上げを行う事業所をいう。
"
"0742","れんが工事業","主としてれんが工事を行う事業所をいう。
"
"0743","タイル工事業","主としてタイル・モザイク・テラコッタ工事を行う事業所をいう。
"
"0744","コンクリートブロック工事業","主としてコンクリートブロック工事を行う事業所をいう。
"
"075","左官工事業",""
"0751","左官工事業","主として左官工事，木舞工事並びに現場における擬石研ぎ出し・磨き出し工事及びモルタル吹付工事などを行う事業所をいう。
"
"076","板金・金物工事業",""
"0761","金属製屋根工事業","主として亜鉛鉄板，銅板，アルミニウム板などを用い，折板，瓦棒，波形平板ぶきなどの工法による屋根工事を行う事業所をいう。
"
"0762","板金工事業","主としてとい（樋），水切，雨押，スカイライト，ブリキ煙突などの工事を行う事業所をいう。
注文を受けて板金工事用の製品を製作し，これを現場で取り付ける事業所も含まれる。
"
"0763","建築金物工事業","主として面格子，装飾金物，メタルラスなどの建築金物工事を行う事業所をいう。
"
"077","塗装工事業",""
"0771","塗装工事業（道路標示・区画線工事業を除く）","主として建築物内外，建築設備，鉄塔，鉄橋その他の鋼製構築物，木柱，木べい，木橋その他の木造構築物，船舶などの塗装を行う事業所をいう。
"
"0772","道路標示・区画線工事業","主として道路面の標示・区画線工事を塗装によって行う事業所をいう。
"
"078","床・内装工事業",""
"0781","床工事業","主としてプラスチック系床タイル，床シート，カーペット，フローリングブロックなどの取付け・仕上工事を行う事業所をいう。
"
"0782","内装工事業","主としてテックスその他繊維板のはり付け工事，壁紙工事，その他建築物及び船舶内部の装飾工事を行う事業所をいう。
"
"079","その他の職別工事業",""
"0791","ガラス工事業","主としてガラスの取付工事のみを行う事業所をいう。
ガラスを販売するとともにその取付工事を行う事業所は含まれない。
"
"0792","金属製建具工事業","主として金属製サッシ，金属製ドア，金属製シャッター，防火扉，非常階段などの取付工事のみを行う事業所をいう。
個人の注文を受けて金属製建具を製作しこれを取付ける事業所は大分類Ｉ－卸売業，小売業［6012］に分類される。
"
"0793","木製建具工事業","主として木製建具の取付工事のみを行う事業所をいう。
個人の注文を受けて木製建具を製作しこれを取付ける事業所は大分類Ｉ－卸売業，小売業［6012］に分類される。
"
"0794","屋根工事業（金属製屋根工事業を除く）","主として屋根工事（金属製屋根工事を除く）を行う事業所をいう。
"
"0795","防水工事業","主としてアスファルト防水工事，モルタル防水工事などを行う事業所をいう。
"
"0796","はつり・解体工事業","主としてコンクリート構造物のはつり及び破壊を行う事業所をいう。
"
"0799","他に分類されない職別工事業","主として他に分類されない職別工事を行う事業所をいう。
"
